sentence	Language	label_name	Annotator	label_ID
An official familiar with a draft of the budget plan described details of the funding request on the condition of anonymity ahead of President BidenÕs release of the plan on Monday.	en	Policy Prescription and Evaluation	G01384408	6.0
ICE continues to inspect individual detention centers to ensure appropriate conditions through the work of ERO, OPR, and in collaboration with other oversight bodies within DHS.	en	Security and Defense	G01384408	8.0
Together with the Federal Bureau of Investigation, HSI enabled the Department of Justice to obtain charges against two conspirators in that offense.	en	Crime and Punishment	G01384408	7.0
Detention Management coordinates with the 25 ERO field offices to ensure a safe and secure environment for noncitizens in ICE custody through facility compliance, on-site monitoring, and the acquisition of detention facilities.	en	Capacity and Resources	G01384408	2.0
Fugitive Operations facilitates logistical and operational support to 25 ERO field offices by developing, implementing, and overseeing plans and policies in support of the overall National Fugitive Operations Program mission.	en	Security and Defense	G01384408	8.0
These centers apply technical capabilities, analytical tools, and law enforcement expertise to generate intelligence-driven leads on noncitizens subject to removal.	en	Security and Defense	G01384408	8.0
Through data collection, analysis and technology and process improvements, LESA delivers tools, studies and recommendations that assist ICEÕs decision-making and planning.	en	Other	G01384408	15.0
This unit develops and implements strategies to remove noncitizens from the United States who are subject to removal by collaborating within the agency and with interagency stakeholders, foreign embassies and consulates, and international partners.	en	Security and Defense	G01384408	8.0
We advocate for global human rights policies and protections for migrants and refugees, and press for multilateral measures to address the root causes of migration, including climate change.	en	Morality	G01384408	3.0
The PA is a nonprofit organization who meets the State and program eligibility criteria and has administrative capacity to act on behalf of CDSS in managing designated programs and program funding.	en	Capacity and Resources	G01384408	2.0
If you are in the United States without having been admitted to or paroled into the country by an immigration officer, then you started accruing unlawful presence on the day you entered the country without admission or parole.	en	Legality, Constitutionality, Jurisdiction	G01384408	5.0
In general, if you were admitted or paroled into the United States by an immigration officer, you were issued or received a Form I_94, Arrival/Departure Record, which shows a specific date when you are required to leave.	en	Health and Safety	G01384408	9.0
If you leave the United States after the commencement of removal proceedings, including voluntarily, it is your responsibility to inform the Executive Office for Immigration Review.	en	Legality, Constitutionality, Jurisdiction	G01384408	5.0
The 10-year unlawful presence ground of inadmissibility applies whether you leave before, during, or after DHS initiated removal proceedings.	en	Legality, Constitutionality, Jurisdiction	G01384408	5.0
Although you are permanently inadmissible under this ground, you may ask for permission to reapply for admission to the United States, but only if you have been physically outside the United States for at least 10 years since the date of your last departure.	en	Legality, Constitutionality, Jurisdiction	G01384408	5.0
